time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-02-25 00:00:00+00:00,6,2,52,15
2023-02-26 00:00:00+00:00,17,5,161,17
2023-02-27 00:00:00+00:00,61,5,265,34
2023-02-28 00:00:00+00:00,65,6,211,26
2023-03-01 00:00:00+00:00,20,9,205,28
2023-03-02 00:00:00+00:00,24,12,108,25
2023-03-03 00:00:00+00:00,18,5,173,19
2023-03-04 00:00:00+00:00,32,5,81,13
2023-03-05 00:00:00+00:00,36,5,102,19
2023-03-06 00:00:00+00:00,42,7,184,35
2023-03-07 00:00:00+00:00,5,2,102,15
2023-03-08 00:00:00+00:00,10,5,183,26
2023-03-09 00:00:00+00:00,21,6,192,20
2023-03-10 00:00:00+00:00,31,6,125,15
