time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-04-27 00:00:00+00:00,5,4,112,17
2023-04-28 00:00:00+00:00,73,5,70,16
2023-04-29 00:00:00+00:00,9,2,59,11
2023-04-30 00:00:00+00:00,6,3,71,12
2023-05-01 00:00:00+00:00,37,5,65,12
2023-05-02 00:00:00+00:00,9,3,58,11
2023-05-03 00:00:00+00:00,18,4,97,9
2023-05-04 00:00:00+00:00,52,8,136,22
2023-05-05 00:00:00+00:00,1,1,163,29
2023-05-06 00:00:00+00:00,7,1,175,20
2023-05-07 00:00:00+00:00,41,3,99,16
2023-05-08 00:00:00+00:00,51,4,112,20
2023-05-09 00:00:00+00:00,5,5,116,13
2023-05-10 00:00:00+00:00,10,4,203,19
