referrer,views_total,views_unique
github.com,1100,46
Google,53,20
news.ycombinator.com,31,23
db3.network,31,12
t.co,21,4
alchemy.com,18,6
dbpunk-labs.github.io,17,2
gitee.com,14,10
oschina.net,9,6
linkedin.com,5,5
