time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-02 00:00:00+00:00,9,3,58,11
2023-05-03 00:00:00+00:00,18,4,97,9
2023-05-04 00:00:00+00:00,52,8,136,22
2023-05-05 00:00:00+00:00,1,1,163,29
2023-05-06 00:00:00+00:00,7,1,175,20
2023-05-07 00:00:00+00:00,41,3,99,16
2023-05-08 00:00:00+00:00,51,4,112,20
2023-05-09 00:00:00+00:00,5,5,116,13
2023-05-10 00:00:00+00:00,10,4,207,21
2023-05-11 00:00:00+00:00,6,6,33,11
2023-05-12 00:00:00+00:00,4,3,30,9
2023-05-13 00:00:00+00:00,2,2,25,11
2023-05-14 00:00:00+00:00,12,4,37,5
2023-05-15 00:00:00+00:00,7,5,215,21
2023-05-16 00:00:00+00:00,8,6,68,14
2023-05-17 00:00:00+00:00,5,4,117,13
2023-05-18 00:00:00+00:00,2,2,92,12
2023-05-19 00:00:00+00:00,2,2,49,12
2023-05-20 00:00:00+00:00,5,4,47,9
2023-05-21 00:00:00+00:00,22,6,27,5
2023-05-22 00:00:00+00:00,56,11,209,21
2023-05-23 00:00:00+00:00,9,4,127,12
2023-05-24 00:00:00+00:00,65,6,178,12
2023-05-25 00:00:00+00:00,6,3,69,10
2023-05-26 00:00:00+00:00,4,2,119,18
2023-05-27 00:00:00+00:00,9,3,44,9
2023-05-28 00:00:00+00:00,13,4,103,11
2023-05-29 00:00:00+00:00,104,10,260,16
2023-05-30 00:00:00+00:00,23,3,74,17
2023-05-31 00:00:00+00:00,53,6,270,15
2023-06-01 00:00:00+00:00,6,4,216,9
2023-06-02 00:00:00+00:00,38,7,147,9
2023-06-03 00:00:00+00:00,44,6,37,6
2023-06-04 00:00:00+00:00,12,3,103,10
2023-06-05 00:00:00+00:00,15,3,198,14
2023-06-06 00:00:00+00:00,87,7,213,15
2023-06-07 00:00:00+00:00,59,7,110,13
2023-06-08 00:00:00+00:00,7,3,145,18
2023-06-09 00:00:00+00:00,61,7,111,9
2023-06-10 00:00:00+00:00,3,2,32,10
2023-06-11 00:00:00+00:00,57,2,188,13
2023-06-12 00:00:00+00:00,47,8,205,80
2023-06-13 00:00:00+00:00,145,10,160,8
2023-06-14 00:00:00+00:00,74,10,332,80
2023-06-15 00:00:00+00:00,206,9,396,82
2023-06-16 00:00:00+00:00,99,4,202,82
2023-06-17 00:00:00+00:00,27,6,141,79
2023-06-18 00:00:00+00:00,9,4,28,5
2023-06-19 00:00:00+00:00,98,7,252,77
2023-06-20 00:00:00+00:00,88,6,260,16
2023-06-21 00:00:00+00:00,179,7,282,9
2023-06-22 00:00:00+00:00,109,8,169,9
2023-06-23 00:00:00+00:00,12,2,57,6
2023-06-24 00:00:00+00:00,82,6,179,7
2023-06-25 00:00:00+00:00,576,9,630,13
2023-06-26 00:00:00+00:00,117,6,261,29
2023-06-27 00:00:00+00:00,93,7,285,13
2023-06-28 00:00:00+00:00,43,4,267,18
2023-06-29 00:00:00+00:00,91,8,250,24
2023-06-30 00:00:00+00:00,67,9,144,16
2023-07-01 00:00:00+00:00,112,7,303,16
2023-07-02 00:00:00+00:00,127,6,211,10
2023-07-03 00:00:00+00:00,153,11,393,28
2023-07-04 00:00:00+00:00,55,6,662,28
