time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-02-29 00:00:00+00:00,3,3,3.0,2.0
2024-03-01 00:00:00+00:00,4,3,54.0,3.0
2024-03-02 00:00:00+00:00,6,5,,
2024-03-03 00:00:00+00:00,2,2,5.0,2.0
2024-03-04 00:00:00+00:00,7,4,28.0,4.0
2024-03-05 00:00:00+00:00,4,4,4.0,3.0
2024-03-06 00:00:00+00:00,2,2,5.0,2.0
2024-03-07 00:00:00+00:00,4,4,7.0,4.0
2024-03-08 00:00:00+00:00,2,2,13.0,5.0
2024-03-09 00:00:00+00:00,3,3,1.0,1.0
2024-03-10 00:00:00+00:00,4,3,5.0,4.0
2024-03-11 00:00:00+00:00,5,4,11.0,7.0
2024-03-12 00:00:00+00:00,6,4,24.0,6.0
2024-03-13 00:00:00+00:00,5,5,3.0,3.0
