time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-04 00:00:00+00:00,7,4,28,4
2024-03-05 00:00:00+00:00,4,4,4,3
2024-03-06 00:00:00+00:00,2,2,5,2
2024-03-07 00:00:00+00:00,4,4,7,4
2024-03-08 00:00:00+00:00,2,2,13,5
2024-03-09 00:00:00+00:00,3,3,1,1
2024-03-10 00:00:00+00:00,4,3,5,4
2024-03-11 00:00:00+00:00,5,4,11,7
2024-03-12 00:00:00+00:00,6,4,24,6
2024-03-13 00:00:00+00:00,5,5,4,4
2024-03-14 00:00:00+00:00,4,4,5,4
2024-03-15 00:00:00+00:00,5,5,10,8
2024-03-16 00:00:00+00:00,5,5,2,2
2024-03-17 00:00:00+00:00,3,3,12,3
