referrer,views_total,views_unique
github.com,58,6
coinsbench.com,30,19
oschina.net,30,1
blog.db3.network,8,4
t.co,3,1
db3-network-crud-todomvc-demo.imotai.repl.co,3,1
dev.to,2,2
medium.com,2,1
