time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-26 00:00:00+00:00,,,29,4
2023-05-27 00:00:00+00:00,,,5,1
2023-05-28 00:00:00+00:00,,,1,1
2023-05-29 00:00:00+00:00,3.0,2.0,116,3
2023-05-30 00:00:00+00:00,67.0,8.0,89,3
2023-05-31 00:00:00+00:00,15.0,7.0,81,5
2023-06-01 00:00:00+00:00,2.0,2.0,18,2
2023-06-02 00:00:00+00:00,3.0,3.0,17,3
2023-06-03 00:00:00+00:00,3.0,3.0,2,2
2023-06-04 00:00:00+00:00,4.0,1.0,26,1
2023-06-05 00:00:00+00:00,31.0,5.0,64,3
2023-06-06 00:00:00+00:00,37.0,4.0,67,3
2023-06-07 00:00:00+00:00,4.0,2.0,52,2
