referrer,views_total,views_unique
github.com,61,6
coinsbench.com,33,20
oschina.net,30,1
blog.db3.network,7,3
t.co,3,1
db3-network-crud-todomvc-demo.imotai.repl.co,3,1
dev.to,2,2
medium.com,2,1
Google,1,1
