referrer,views_total,views_unique
github.com,139,7
db3-network-crud-todomvc-demo.imotai.repl.co,8,1
coinsbench.com,6,3
dev.to,4,2
illacloud.com,4,1
Google,1,1
awesome-web3.com,1,1
