time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-17 00:00:00+00:00,6.0,4.0,16,2
2023-06-18 00:00:00+00:00,,,6,2
2023-06-19 00:00:00+00:00,63.0,9.0,91,4
2023-06-20 00:00:00+00:00,6.0,3.0,85,3
2023-06-21 00:00:00+00:00,31.0,3.0,85,3
2023-06-22 00:00:00+00:00,41.0,8.0,101,5
2023-06-23 00:00:00+00:00,14.0,4.0,54,8
2023-06-24 00:00:00+00:00,1.0,1.0,43,3
2023-06-25 00:00:00+00:00,2.0,2.0,28,4
2023-06-26 00:00:00+00:00,8.0,7.0,12,4
2023-06-27 00:00:00+00:00,4.0,2.0,15,3
2023-06-28 00:00:00+00:00,,,12,2
2023-06-29 00:00:00+00:00,1.0,1.0,14,3
2023-06-30 00:00:00+00:00,,,5,2
