time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-06-11 00:00:00+00:00,2.0,1.0,47,4
2023-06-12 00:00:00+00:00,29.0,6.0,62,3
2023-06-13 00:00:00+00:00,25.0,5.0,6,2
2023-06-14 00:00:00+00:00,136.0,13.0,200,2
2023-06-15 00:00:00+00:00,6.0,3.0,94,1
2023-06-16 00:00:00+00:00,26.0,3.0,53,5
2023-06-17 00:00:00+00:00,6.0,4.0,16,2
2023-06-18 00:00:00+00:00,,,6,2
2023-06-19 00:00:00+00:00,63.0,9.0,91,4
2023-06-20 00:00:00+00:00,6.0,3.0,85,3
2023-06-21 00:00:00+00:00,31.0,3.0,85,3
2023-06-22 00:00:00+00:00,41.0,8.0,101,5
2023-06-23 00:00:00+00:00,14.0,4.0,54,8
2023-06-24 00:00:00+00:00,1.0,1.0,43,3
