time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-25 00:00:00+00:00,2.0,2.0,4,2
2023-01-26 00:00:00+00:00,,,2,2
2023-01-27 00:00:00+00:00,,,2,1
2023-01-28 00:00:00+00:00,,,5,2
2023-01-29 00:00:00+00:00,2.0,2.0,39,5
2023-01-30 00:00:00+00:00,1.0,1.0,21,3
2023-01-31 00:00:00+00:00,,,1,1
2023-02-01 00:00:00+00:00,,,8,1
2023-02-02 00:00:00+00:00,46.0,6.0,70,6
2023-02-03 00:00:00+00:00,69.0,6.0,122,3
2023-02-04 00:00:00+00:00,5.0,1.0,16,3
2023-02-05 00:00:00+00:00,,,9,1
2023-02-06 00:00:00+00:00,9.0,4.0,80,3
2023-02-07 00:00:00+00:00,,,14,3
