time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-29 00:00:00+00:00,3,2,116,3
2023-05-30 00:00:00+00:00,67,8,89,3
2023-05-31 00:00:00+00:00,15,7,81,5
2023-06-01 00:00:00+00:00,2,2,18,2
2023-06-02 00:00:00+00:00,3,3,17,3
2023-06-03 00:00:00+00:00,3,3,2,2
2023-06-04 00:00:00+00:00,4,1,26,1
2023-06-05 00:00:00+00:00,31,5,64,3
2023-06-06 00:00:00+00:00,37,4,67,3
2023-06-07 00:00:00+00:00,4,2,52,2
2023-06-08 00:00:00+00:00,5,4,39,3
2023-06-09 00:00:00+00:00,27,6,12,1
2023-06-10 00:00:00+00:00,1,1,6,6
2023-06-11 00:00:00+00:00,2,1,47,4
