time_iso8601,stars_cumulative
2023-01-03 00:00:00+00:00,2
2023-01-08 00:00:00+00:00,3
2023-01-12 00:00:00+00:00,4
2023-01-18 00:00:00+00:00,5
2023-02-27 00:00:00+00:00,6
2023-03-16 00:00:00+00:00,7
